original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
648,1,έχω,έχω,иметь,4,8779.7,293.1,5.467,verb,έχω,exact,
633,2,είμαι,είμαι,"быть, являться",28,2535.8,216.7,5.336,adj,είμαι,exact,
661,3,κάνω,κάνω,делать,34,2100.5,129.6,5.112,verb,κάνω,exact,
679,4,λέω,λέω,"говорить, сказать",20,3182.2,3.7,3.57,verb,λέγω,alias,
653,5,θέλω,θέλω,хотеть,67,1235.2,215.6,5.333,verb,θέλω,exact,
692,6,μπορώ,μπορώ,"мочь, уметь",25,2806.7,108.6,5.036,verb,μπορώ,exact,
698,7,ξέρω,ξέρω,знать,189,547.0,135.3,5.131,verb,ξέρω,exact,
606,8,βλέπω,βλέπω,"видеть, смотреть",79,1020.7,53.9,4.731,verb,βλέπω,exact,
577,9,ακούω,ακούω,"слышать, слушать",260,419.7,19.2,4.284,verb,ακούω,exact,
722,10,πηγαίνω,πηγαίνω,"идти, ехать",122,740.3,5.8,3.765,verb,πηγαίνω,exact,
646,11,έρχομαι,έρχομαι,"приходить, прийти",159,622.2,18.4,4.265,verb,έρχομαι,exact,
708,12,παίρνω,παίρνω,"брать, взять",89,949.7,11.3,4.053,verb,παίρνω,exact,
625,13,δίνω,δίνω,давать,43,1688.8,9.7,3.987,verb,δίνω,exact,
783,14,τρώω,τρώω,"есть, кушать",1316,86.4,0.1,2.106,verb,τρώγω,alias,
723,15,πίνω,πίνω,пить,1954,50.9,1.4,3.154,verb,πίνω,exact,
786,16,φέρνω,φέρνω,приносить,270,408.2,8.2,3.915,verb,φέρω,alias,
746,17,ρωτάω,ρωτάω,спрашивать,617,200.1,5.5,3.742,verb,ρωτώ,verb_alt,
718,18,περνώ,περνώ,"проходить, проводить (время)",153,641.1,2.6,3.417,verb,περνάω,verb_alt,
595,19,αρχίζω,αρχίζω,начинать,179,569.6,2.7,3.435,verb,αρχίζω,exact,
777,20,τελειώνω,τελειώνω,"заканчивать, кончать",687,180.6,10.6,4.026,verb,τελειώνω,exact,
697,21,ξεκινώ,ξεκινώ,"начинать, отправляться",,,,,,,,
757,22,σταματάω,σταματάω,"останавливать(ся), прекращать",700,177.0,0.8,2.919,verb,σταματάω,exact,
685,23,μένω,μένω,"жить, оставаться",304,367.9,4.6,3.664,verb,μένω,exact,
787,24,φεύγω,φεύγω,"уходить, уезжать",495,243.8,4.7,3.674,verb,φεύγω,exact,
615,25,γυρίζω,γυρίζω,"возвращаться, поворачивать",874,141.1,2.4,3.384,verb,γυρίζω,exact,
691,26,μπαίνω,μπαίνω,входить,335,324.8,3.8,3.583,verb,μπαίνω,exact,
605,27,βγαίνω,βγαίνω,"выходить, идти гулять",462,255.2,2.3,3.365,verb,βγαίνω,exact,
575,28,αγοράζω,αγοράζω,покупать,1024,118.1,1.4,3.154,verb,αγοράζω,exact,
730,29,πουλάω,πουλάω,продавать,1330,85.5,0.9,2.961,verb,πουλάω,exact,
726,30,πληρώνω,πληρώνω,платить,599,205.6,2.4,3.384,verb,πληρώνω,exact,
631,31,δουλεύω,δουλεύω,работать,934,132.1,5.4,3.734,verb,δουλεύω,exact,
618,32,διαβάζω,διαβάζω,читать,789,157.1,12.7,4.104,verb,διαβάζω,exact,
614,33,γράφω,γράφω,писать,311,357.7,10.6,4.026,verb,γράφω,exact,
688,34,μιλάω,μιλάω,"говорить, разговаривать",168,597.8,17.4,4.241,verb,μιλάω,exact,
683,35,μαθαίνω,μαθαίνω,"учить, изучать",730,171.3,4.5,3.656,verb,μαθαίνω,exact,
662,36,καταλαβαίνω,καταλαβαίνω,понимаю,513,237.9,23.6,4.373,verb,καταλαβαίνω,exact,
656,37,θυμάμαι,θυμάμαι,помнить,823,150.8,38.4,4.584,verb,θυμάμαι,exact,
699,38,ξεχνώ,ξεχνώ,забывать,862,143.4,1.1,3.052,verb,ξεχνάω,verb_alt,
797,39,χρειάζομαι,χρειάζομαι,нуждаться,254,424.0,3.2,3.506,verb,χρειάζομαι,exact,
799,40,χρησιμοποιώ,χρησιμοποιώ,использовать,221,471.1,4.0,3.604,verb,χρησιμοποιώ,exact,
717,41,περιμένω,περιμένω,ждать,415,275.5,14.1,4.15,verb,περιμένω,exact,
803,42,ψάχνω,ψάχνω,искать,1424,79.1,3.4,3.534,verb,ψάχνω,exact,
610,43,βρίσκω,βρίσκω,находить,62,1313.0,8.8,3.945,verb,βρίσκω,exact,
574,44,αγαπάω,αγαπάω,любить,1082,109.3,2.5,3.403,verb,αγαπάω,exact,
789,45,φοβάμαι,φοβάμαι,бояться,1006,120.6,7.3,3.864,verb,φοβούμαι,alias,
