original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
648,1,έχω,έχω,иметь,4,8779.7,293.1,5.467,verb,έχω,exact,
466,2,πολύς,πολύς,много,19,3281.8,16.9,4.228,adj,πολύς,exact,
679,3,λέω,λέω,"говорить, сказать",20,3182.2,3.7,3.57,verb,λέγω,alias,
743,4,πώ,πώ,"сказать, говорить",20,3182.2,3.7,3.57,verb,λέγω,alias,
453,5,όλος,όλος,"весь, целый",22,2879.4,19.2,4.284,adj,όλος,exact,
692,6,μπορώ,μπορώ,"мочь, уметь",25,2806.7,108.6,5.036,verb,μπορώ,exact,
633,7,είμαι,είμαι,"быть, являться",28,2535.8,216.7,5.336,adj,είμαι,exact,
612,8,γίνομαι,γίνομαι,"становиться, происходить",30,2333.1,2.0,3.305,verb,γίνομαι,exact,
784,9,υπάρχω,υπάρχω,"существовать, иметься",32,2241.9,1.2,3.083,verb,υπάρχω,exact,
548,10,όπως,όπως,"как, так как",33,2128.7,2128.7,6.328,adv,όπως,exact,
661,11,κάνω,κάνω,делать,34,2100.5,129.6,5.112,verb,κάνω,exact,
439,12,μεγάλος,μεγάλος,"большой, старший",35,2042.8,63.2,4.8,adj,μεγάλος,exact,
732,13,πρέπει,πρέπει,"нужно, необходимо",36,2009.6,1759.0,6.245,verb,πρέπει,exact,
447,14,νέος,νέος,"молодой, новый",37,1981.6,81.3,4.91,adj,νέος,exact,
556,15,πολύ,πολύ,"очень, много",42,1714.8,1342.2,6.127,adv,πολύ,exact,
625,16,δίνω,δίνω,давать,43,1688.8,9.7,3.987,verb,δίνω,exact,
327,17,ο χρόνος,χρόνος,"время, год",45,1664.6,97.6,4.989,noun,χρόνος,exact,
471,18,πρώτος,πρώτος,первый,46,1625.0,104.8,5.02,quant,πρώτος,exact,
330,19,η χώρα,χώρα,страна,47,1478.2,546.2,5.737,noun,χώρα,exact,
412,20,ίδιος,ίδιος,"тот же, одинаковый",50,1464.3,245.9,5.39,adj,ίδιος,exact,
544,21,μόνο,μόνο,только,52,1437.4,1264.3,6.102,adv,μόνο,exact,
430,22,κύριος,κύριος,"главный, господин",55,1396.0,128.8,5.11,noun,κύριος,exact,
420,23,καλός,καλός,хороший,57,1369.4,41.1,4.614,adj,καλός,exact,
9,24,το θέμα,θέμα,"тема, вопрос",58,1367.1,862.5,5.935,noun,θέμα,exact,
508,25,ακόμα,ακόμα,ещё,60,1327.2,496.8,5.696,adv,ακόμα,exact,
610,26,βρίσκω,βρίσκω,находить,62,1313.0,8.8,3.945,verb,βρίσκω,exact,
653,27,θέλω,θέλω,хотеть,67,1235.2,215.6,5.333,verb,θέλω,exact,
391,28,ελληνικός,ελληνικός,греческий,71,1217.7,41.2,4.615,adj,ελληνικός,exact,
542,29,μέσα,μέσα,"внутри, в",75,1108.6,1084.9,6.035,adv,μέσα,exact,
99,30,ο μήνας,μήνας,месяц,76,1100.2,9.7,3.987,noun,μήνας,exact,
549,31,όχι,όχι,"нет, не",78,1054.7,1054.7,6.023,part,όχι,exact,
606,32,βλέπω,βλέπω,"видеть, смотреть",79,1020.7,53.9,4.731,verb,βλέπω,exact,
416,33,κάθε,κάθε,каждый,80,1018.0,1018.0,6.007,pron,κάθε,exact,
76,34,ο λόγος,λόγος,"слово, речь, причина",81,1001.8,140.4,5.147,noun,λόγος,exact,
196,35,το πρόβλημα,πρόβλημα,проблема,83,986.3,438.4,5.642,noun,πρόβλημα,exact,
12,36,η θέση,θέση,"место, позиция, должность",84,980.1,613.4,5.787,noun,θέση,exact,
564,37,σήμερα,σήμερα,сегодня,85,977.9,977.9,5.99,adv,σήμερα,exact,
376,38,δημόσιος,δημόσιος,"общественный, государственный",87,965.5,14.6,4.164,adj,δημόσιος,exact,
708,39,παίρνω,παίρνω,"брать, взять",89,949.7,11.3,4.053,verb,παίρνω,exact,
433,40,λίγος,λίγος,"мало, немного",90,947.5,4.3,3.635,adj,λίγος,exact,
452,41,οικονομικός,οικονομικός,"экономический, дешёвый",92,945.1,9.3,3.969,adj,οικονομικός,exact,
402,42,ευρωπαϊκός,ευρωπαϊκός,европейский,93,922.2,8.9,3.95,adj,ευρωπαϊκός,exact,
526,43,έτσι,έτσι,"так, таким образом",96,890.4,890.4,5.949,adv,έτσι,exact,
571,44,τώρα,τώρα,сейчас,100,837.4,837.4,5.923,adv,τώρα,exact,
480,45,τελευταίος,τελευταίος,последний,104,817.8,36.1,4.557,adj,τελευταίος,exact,
140,46,η ομάδα,ομάδα,"команда, группа",106,816.3,420.2,5.623,noun,ομάδα,exact,
573,47,χθες,χθες,вчера,109,791.1,779.2,5.891,adv,χθες,exact,
313,48,η φορά,φορά,раз,113,762.3,477.8,5.679,noun,φορά,exact,
177,49,η περίπτωση,περίπτωση,случай,118,753.4,499.7,5.698,noun,περίπτωση,exact,
722,50,πηγαίνω,πηγαίνω,"идти, ехать",122,740.3,5.8,3.765,verb,πηγαίνω,exact,
375,51,δεύτερος,δεύτερος,второй,123,739.2,46.8,4.67,quant,δεύτερος,exact,
649,52,ζητάω,ζητάω,"просить, искать",124,733.8,2.4,3.384,verb,ζητάω,exact,
257,53,η σχέση,σχέση,отношения,127,719.8,400.7,5.603,noun,σχέση,exact,
525,54,επίσης,επίσης,"также, тоже",130,706.4,706.4,5.849,adv,επίσης,exact,
516,55,δηλαδή,δηλαδή,"то есть, значит",131,704.8,704.8,5.848,part,δηλαδή,exact,
286,56,ο τρόπος,τρόπος,"способ, образ",132,702.9,102.7,5.011,noun,τρόπος,exact,
175,57,η περιοχή,περιοχή,"район, область",133,701.5,343.5,5.536,noun,περιοχή,exact,
387,58,ειδικός,ειδικός,специальный; специалист,135,690.5,23.8,4.377,adj,ειδικός,exact,
521,59,εδώ,εδώ,здесь,137,686.6,638.1,5.805,adv,εδώ,exact,
198,60,το πρόγραμμα,πρόγραμμα,"программа, план",140,681.0,311.8,5.494,noun,πρόγραμμα,exact,
241,61,το στοιχείο,στοιχείο,"элемент, деталь",145,657.9,129.5,5.112,noun,στοιχείο,exact,
442,62,μικρός,μικρός,"маленький, младший",147,653.4,35.8,4.554,adj,μικρός,exact,
473,63,σημαντικός,σημαντικός,важный,148,649.8,19.1,4.281,adj,σημαντικός,exact,
655,64,θέτω,θέτω,"ставлю, помещаю",150,646.4,4.0,3.604,verb,θέτω,exact,
718,65,περνώ,περνώ,"проходить, проводить (время)",153,641.1,2.6,3.417,verb,περνάω,verb_alt,
570,66,τότε,τότε,тогда,154,637.0,635.7,5.803,adv,τότε,exact,
53,67,ο κόσμος,κόσμος,"мир, люди",157,624.7,167.5,5.224,noun,κόσμος,exact,
646,68,έρχομαι,έρχομαι,"приходить, прийти",159,622.2,18.4,4.265,verb,έρχομαι,exact,
569,69,τόσο,τόσο,"так, настолько",162,614.0,614.0,5.788,adv,τόσο,exact,
267,70,το τέλος,τέλος,конец,163,610.5,514.1,5.711,noun,τέλος,exact,
333,71,ο χώρος,χώρος,"пространство, место",164,607.1,71.2,4.852,noun,χώρος,exact,
513,72,βέβαια,βέβαια,"конечно, разумеется",166,602.4,358.2,5.554,adv,βέβαια,exact,
688,73,μιλάω,μιλάω,"говорить, разговаривать",168,597.8,17.4,4.241,verb,μιλάω,exact,
295,74,η υπηρεσία,υπηρεσία,"услуга, служба",172,586.9,122.3,5.087,noun,υπηρεσία,exact,
483,75,τέτοιος,τέτοιος,такой,178,570.1,11.4,4.057,pron,τέτοιος,exact,
595,76,αρχίζω,αρχίζω,начинать,179,569.6,2.7,3.435,verb,αρχίζω,exact,
382,77,δικός,δικός,"свой, мой, твой",180,566.4,16.1,4.207,pron,δικός,exact,
240,78,η στιγμή,στιγμή,"момент, мгновение",183,561.1,446.4,5.649,noun,στιγμή,exact,
339,79,η ώρα,ώρα,"час, время",188,548.6,335.9,5.526,noun,ώρα,exact,
698,80,ξέρω,ξέρω,знать,189,547.0,135.3,5.131,verb,ξέρω,exact,
790,81,φοράω,φοράω,носить (одежду),191,545.4,1.1,3.052,verb,φοράω,exact,
395,82,εξωτερικός,εξωτερικός,"внешний, наружный",195,531.5,2.0,3.305,adj,εξωτερικός,exact,
551,83,πάνω,πάνω,"вверх, наверху",198,520.7,520.1,5.716,adv,πάνω,exact,
538,84,λοιπόν,λοιπόν,"итак, ну",199,520.7,520.7,5.716,conj,λοιπόν,exact,
541,85,μάλιστα,μάλιστα,"конечно, да",202,515.4,515.4,5.712,adv,μάλιστα,exact,
149,86,το παιδί,παιδί,ребёнок,203,512.6,118.9,5.075,noun,παιδί,exact,
481,87,τελικός,τελικός,"финальный, окончательный",205,504.6,14.3,4.155,adj,τελικός,exact,
528,88,ήδη,ήδη,уже,206,502.5,502.5,5.701,adv,ήδη,exact,
194,89,το πράγμα,πράγμα,"вещь, дело, предмет",210,495.7,138.4,5.141,noun,πράγμα,exact,
707,90,παίζω,παίζω,играть,214,489.7,9.0,3.955,verb,παίζω,exact,
724,91,πιστεύω,πιστεύω,верить,215,488.2,183.1,5.262,verb,πιστεύω,exact,
93,92,το μέρος,μέρος,"часть, место",218,478.1,314.1,5.497,noun,μέρος,exact,
537,93,λίγο,λίγο,"немного, мало",220,473.6,321.3,5.507,adv,λίγο,exact,
799,94,χρησιμοποιώ,χρησιμοποιώ,использовать,221,471.1,4.0,3.604,verb,χρησιμοποιώ,exact,
274,95,η τιμή,τιμή,цена,226,460.9,166.1,5.22,noun,τιμή,exact,
205,96,η πρόταση,πρόταση,предложение,229,458.7,246.7,5.392,noun,πρόταση,exact,
139,97,η οικονομία,οικονομία,"экономика, экономия",231,455.7,164.2,5.215,noun,οικονομία,exact,
539,98,μαζί,μαζί,вместе,234,453.0,453.0,5.656,adv,μαζί,exact,
